cancer,conv_type,fusion,lr,mixup_alpha,split_seed,status,accuracy,macro_f1,weighted_f1,low_n_warn
BRCA,gcn,attn,5e-4,0.0,4,ok,0.8222,0.7708,0.8308,False
BRCA,gcn,attn,5e-4,0.1,0,ok,0.7852,0.7642,0.7932,False
BRCA,gcn,attn,5e-4,0.1,1,ok,0.7926,0.7387,0.8007,False
BRCA,gcn,attn,5e-4,0.1,2,ok,0.8148,0.7812,0.8238,False
BRCA,gcn,attn,5e-4,0.1,3,ok,0.7556,0.7296,0.7734,False
BRCA,gcn,attn,5e-4,0.1,4,ok,0.7778,0.7503,0.7901,False
BRCA,gcn,attn,5e-4,0.2,0,ok,0.7852,0.7593,0.7937,False
BRCA,gcn,attn,5e-4,0.2,1,ok,0.7852,0.7309,0.7945,False
BRCA,gcn,attn,5e-4,0.2,2,ok,0.8148,0.7834,0.8243,False
BRCA,gcn,attn,5e-4,0.2,3,ok,0.7556,0.7296,0.7734,False
BRCA,gcn,attn,5e-4,0.2,4,ok,0.7852,0.7643,0.7976,False
BRCA,gcn,cross,1e-3,0.0,0,ok,0.8,0.7628,0.8041,False
BRCA,gcn,cross,1e-3,0.0,1,ok,0.8222,0.7535,0.8279,False
BRCA,gcn,cross,1e-3,0.0,2,ok,0.837,0.7937,0.8432,False
BRCA,gcn,cross,1e-3,0.0,3,ok,0.763,0.7151,0.7768,False
BRCA,gcn,cross,1e-3,0.0,4,ok,0.8148,0.7886,0.8232,False
BRCA,gcn,cross,1e-3,0.1,0,ok,0.7852,0.7565,0.7904,False
BRCA,gcn,cross,1e-3,0.1,1,ok,0.7926,0.7287,0.8027,False
BRCA,gcn,cross,1e-3,0.1,2,ok,0.8148,0.7695,0.8272,False
BRCA,gcn,cross,1e-3,0.1,3,ok,0.7556,0.7294,0.7724,False
BRCA,gcn,cross,1e-3,0.1,4,ok,0.7926,0.7657,0.805,False
BRCA,gcn,cross,1e-3,0.2,0,ok,0.7852,0.7565,0.7904,False
BRCA,gcn,cross,1e-3,0.2,1,ok,0.7926,0.7287,0.8027,False
BRCA,gcn,cross,1e-3,0.2,2,ok,0.8148,0.7695,0.8272,False
BRCA,gcn,cross,1e-3,0.2,3,ok,0.7407,0.7088,0.759,False
BRCA,gcn,cross,1e-3,0.2,4,ok,0.7852,0.7704,0.7997,False
BRCA,gcn,cross,1e-4,0.0,0,ok,0.763,0.7264,0.7754,False
BRCA,gcn,cross,1e-4,0.0,1,ok,0.7704,0.6985,0.7834,False
BRCA,gcn,cross,1e-4,0.0,2,ok,0.8,0.7532,0.8106,False
BRCA,gcn,cross,1e-4,0.0,3,ok,0.6815,0.644,0.6993,False
BRCA,gcn,cross,1e-4,0.0,4,ok,0.7481,0.7041,0.7619,False
BRCA,gcn,cross,1e-4,0.1,0,ok,0.7407,0.7149,0.7569,False
BRCA,gcn,cross,1e-4,0.1,1,ok,0.7259,0.6546,0.7463,False
BRCA,gcn,cross,1e-4,0.1,2,ok,0.763,0.7078,0.7823,False
BRCA,gcn,cross,1e-4,0.1,3,ok,0.6815,0.6375,0.7019,False
BRCA,gcn,cross,1e-4,0.1,4,ok,0.7407,0.6986,0.7562,False
BRCA,gcn,cross,1e-4,0.2,0,ok,0.7407,0.7117,0.7576,False
BRCA,gcn,cross,1e-4,0.2,1,ok,0.7333,0.6665,0.7523,False
BRCA,gcn,cross,1e-4,0.2,2,ok,0.763,0.7108,0.7815,False
BRCA,gcn,cross,1e-4,0.2,3,ok,0.6593,0.6192,0.6801,False
BRCA,gcn,cross,1e-4,0.2,4,ok,0.7333,0.6934,0.7505,False
BRCA,gcn,cross,5e-4,0.0,0,ok,0.8074,0.7823,0.8111,False
BRCA,gcn,cross,5e-4,0.0,1,ok,0.8,0.7261,0.809,False
BRCA,gcn,cross,5e-4,0.0,2,ok,0.8296,0.7817,0.8376,False
BRCA,gcn,cross,5e-4,0.0,3,ok,0.7556,0.6952,0.7682,False
BRCA,gcn,cross,5e-4,0.0,4,ok,0.8074,0.7874,0.8185,False
BRCA,gcn,cross,5e-4,0.1,0,ok,0.7778,0.7393,0.7838,False
BRCA,gcn,cross,5e-4,0.1,1,ok,0.7852,0.7185,0.7977,False
BRCA,gcn,cross,5e-4,0.1,2,ok,0.8,0.7596,0.8123,False
BRCA,gcn,cross,5e-4,0.1,3,ok,0.7407,0.7235,0.7596,False
BRCA,gcn,cross,5e-4,0.1,4,ok,0.7704,0.7495,0.7862,False
BRCA,gcn,cross,5e-4,0.2,0,ok,0.7704,0.735,0.7766,False
BRCA,gcn,cross,5e-4,0.2,1,ok,0.7852,0.7185,0.7977,False
BRCA,gcn,cross,5e-4,0.2,2,ok,0.8074,0.7639,0.8195,False
BRCA,gcn,cross,5e-4,0.2,3,ok,0.7407,0.7235,0.7596,False
BRCA,gcn,cross,5e-4,0.2,4,ok,0.7704,0.7495,0.7862,False
